headline,url
"Flash flood on Nepal-Tibet border kills more than 160, with hundreds of tourists missing",https://www.bbc.com/news/live/c6y8mjmnpxv0t
BBC visits hospital in Kathmandu as families wait for news,https://www.bbc.com/news/videos/c62mr6p1dydo
Meta's $18bn settlement may hasten reckoning for social media on child safety,https://www.bbc.com/news/articles/clyq4gxwe7go
World's first patient to undergo live AI-assisted brain surgery has tumour removed,https://www.bbc.com/news/articles/cjwg5n7y68xo
Japanese avant-garde artist Yayoi Kusama dies aged 97,https://www.bbc.com/news/articles/c3v4k0re3vwo
Sydney police investigate death of teen girl from suspected choking during sex,https://www.bbc.com/news/articles/cdr7jpzxz00o
"Door was locked at Pakistan hospital where fire killed 14 babies, witnesses say",https://www.bbc.com/news/articles/czdz13elezlo
The question dominating Indian politics: Is it worse when women swear?,https://www.bbc.com/news/articles/cy0zn6gy7zjo
Susan Sarandon leads tributes to Rocky Horror Picture Show co-star Tim Curry,https://www.bbc.com/news/articles/clyj56zjdxpo
Trial date set for alleged 9/11 mastermind Khalid Sheikh Mohammed,https://www.bbc.com/news/articles/czezg2p50rxo
